document_id,term,term_type,frequency,frequency_score,first_position,last_position,distance_from_start,distance_from_end,earliness_score,persistence_score,relevance_score,extended_relevance_score,relevance_class
L8,labeling,unigram,3,0.15,0.010135,0.643581,0.010135,0.356419,0.989865,0.633446,0.569932,0.546993,top
L8,linguistic,unigram,3,0.15,0.025338,0.349662,0.025338,0.650338,0.974662,0.324324,0.562331,0.449696,top
L8,bce,unigram,3,0.15,0.032095,0.065878,0.032095,0.934122,0.967905,0.033784,0.558953,0.360507,top
L8,nlp,unigram,3,0.15,0.084459,1.0,0.084459,0.0,0.915541,0.915541,0.53277,0.609324,top
L8,closed,unigram,3,0.15,0.089527,0.146959,0.089527,0.853041,0.910473,0.057432,0.530236,0.350372,top
L8,grammatical,unigram,2,0.1,0.04223,0.108108,0.04223,0.891892,0.95777,0.065878,0.528885,0.347095,top
L8,category,unigram,2,0.1,0.043919,0.081081,0.043919,0.918919,0.956081,0.037162,0.528041,0.337973,top
L8,function,unigram,3,0.15,0.099662,0.150338,0.099662,0.849662,0.900338,0.050676,0.525169,0.345304,top
L8,natural,unigram,1,0.05,0.0,0.0,0.0,1.0,1.0,0.0,0.525,0.32,top
L8,processing,unigram,1,0.05,0.003378,0.003378,0.003378,0.996622,0.996622,0.0,0.523311,0.318986,top
L9,language,unigram,28,1.0,0.008371,0.994673,0.008371,0.005327,0.991629,0.986301,0.995814,0.993379,top
L9,english,unigram,25,0.892857,0.072298,0.990868,0.072298,0.009132,0.927702,0.918569,0.910279,0.911024,top
L9,translation,unigram,21,0.75,0.000761,0.838661,0.000761,0.161339,0.999239,0.8379,0.874619,0.851142,top
L9,translate,unigram,19,0.678571,0.016743,0.974125,0.016743,0.025875,0.983257,0.957382,0.830914,0.85362,top
L9,transfer,unigram,14,0.5,0.012177,0.998478,0.012177,0.001522,0.987823,0.986301,0.743912,0.792237,top
L9,direct,unigram,12,0.428571,0.013699,1.0,0.013699,0.0,0.986301,0.986301,0.707436,0.763209,top
L9,chinese,unigram,11,0.392857,0.032725,0.701674,0.032725,0.298326,0.967275,0.66895,0.680066,0.64801,top
L9,sentence,unigram,9,0.321429,0.070776,0.813546,0.070776,0.186454,0.929224,0.74277,0.625326,0.63017,top
L9,interlingua,unigram,7,0.25,0.012938,0.999239,0.012938,0.000761,0.987062,0.986301,0.618531,0.692009,top
L9,history,unigram,6,0.214286,0.00761,0.993912,0.00761,0.006088,0.99239,0.986301,0.603338,0.679322,top
L9,machine,unigram,5,0.178571,0.0,0.23516,0.0,0.76484,1.0,0.23516,0.589286,0.441977,top
L9,machine translation,domain_phrase,5,0.178571,0.0,0.258752,0.0,0.741248,1.0,0.258752,0.589286,0.449054,top
L9,divergences,unigram,5,0.178571,0.009893,0.996195,0.009893,0.003805,0.990107,0.986301,0.584339,0.664351,top
L9,human,unigram,7,0.25,0.114916,0.273973,0.114916,0.726027,0.885084,0.159056,0.567542,0.413242,top
L9,statistical,unigram,4,0.142857,0.015221,0.863775,0.015221,0.136225,0.984779,0.848554,0.563818,0.607143,top
L9,dan,unigram,3,0.107143,0.003044,0.433029,0.003044,0.566971,0.996956,0.429985,0.552049,0.470939,top
L9,bamboo,unigram,4,0.142857,0.040335,0.08828,0.040335,0.91172,0.959665,0.047945,0.551261,0.359426,top
L9,little,unigram,3,0.107143,0.006849,0.993151,0.006849,0.006849,0.993151,0.986301,0.550147,0.636693,top
L9,rain,unigram,4,0.142857,0.043379,0.096651,0.043379,0.903349,0.956621,0.053272,0.549739,0.360111,top
L9,similarities,unigram,3,0.107143,0.009132,0.995434,0.009132,0.004566,0.990868,0.986301,0.549005,0.636008,top
