document_id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
L1,1.0000000000000002,0.11239315488633579,0.08883135575577228,0.024195692287259794,0.005287140148752115,0.02914791976635535,0.061324490414312746,0.07500314658416514,0.06956366424351583,0.009379997991049853,0.04287488621004681,0.04002667897880437,0.0685929338375553,0.007299656276232335,0.009120861792941904
L2,0.11239315488633579,1.0000000000000002,0.007546007532234211,0.05298544501826852,0.029358989903350615,0.024543523165062184,0.06949643823254399,0.05038467283408278,0.05479241827210017,0.03165962975001308,0.05695118797369333,0.11057011979495268,0.026307257043630433,0.07881741360021728,0.0
L3,0.08883135575577228,0.007546007532234211,1.0000000000000002,0.04955276283404966,0.07046904048708454,0.05234523005391312,0.08053098504383066,0.05829500384072969,0.03426739486012359,0.058104553443664914,0.029784866426724635,0.06352888832264632,0.02620961076271324,0.00808646753884905,0.0
L4,0.024195692287259794,0.05298544501826852,0.04955276283404966,1.0000000000000002,0.20209803481528843,0.07099232805943956,0.08716159294328202,0.041335999231231726,0.019160815695393574,0.04388787596335261,0.04255341856524607,0.038402932166645996,0.03203331373986747,0.01620089608172441,0.15721901380172495
L5,0.005287140148752115,0.029358989903350615,0.07046904048708454,0.20209803481528843,1.0,0.0668507050427541,0.27127541959798473,0.04596839465251544,0.017920598589589873,0.044300788225097504,0.04040792102040423,0.03534130012173121,0.017005776557130016,0.0,0.042494068253155284
L6,0.02914791976635535,0.024543523165062184,0.05234523005391312,0.07099232805943956,0.0668507050427541,1.0000000000000004,0.039902223018215964,0.0,0.0,0.04199529380376754,0.052316529712608806,0.06108799329465059,0.3131484122251136,0.07468998524930784,0.12328240751529325
L7,0.061324490414312746,0.06949643823254399,0.08053098504383066,0.08716159294328202,0.27127541959798473,0.039902223018215964,1.0000000000000002,0.04485054589583933,0.0,0.1570301027660083,0.07638257653571782,0.013680844542795804,0.022504720580013963,0.03601456345447744,0.004633136673925296
L8,0.07500314658416514,0.05038467283408278,0.05829500384072969,0.041335999231231726,0.04596839465251544,0.0,0.04485054589583933,0.9999999999999998,0.0439296659529568,0.04520970734213807,0.13649944563760075,0.0,0.02235165650328514,0.1319295992001582,0.011289398506105141
L9,0.06956366424351583,0.05479241827210017,0.03426739486012359,0.019160815695393574,0.017920598589589873,0.0,0.0,0.0439296659529568,1.0000000000000002,0.017896542303101552,0.058497704667146315,0.059371541022311736,0.07514063213674685,0.07726266405930937,0.010957790543811009
L10,0.009379997991049853,0.03165962975001308,0.058104553443664914,0.04388787596335261,0.044300788225097504,0.04199529380376754,0.1570301027660083,0.04520970734213807,0.017896542303101552,1.0,0.16524035221873615,0.038211269705401174,0.016295911089785543,0.03543323131642102,0.01225395529760538
L11,0.04287488621004681,0.05695118797369333,0.029784866426724635,0.04255341856524607,0.04040792102040423,0.052316529712608806,0.07638257653571782,0.13649944563760075,0.058497704667146315,0.16524035221873615,1.0,0.043965092154281696,0.03367115051176754,0.07739055375975659,0.0
L12,0.04002667897880437,0.11057011979495268,0.06352888832264632,0.038402932166645996,0.03534130012173121,0.06108799329465059,0.013680844542795804,0.0,0.059371541022311736,0.038211269705401174,0.043965092154281696,1.0,0.07554141395952871,0.2121097948190125,0.0
L13,0.0685929338375553,0.026307257043630433,0.02620961076271324,0.03203331373986747,0.017005776557130016,0.3131484122251136,0.022504720580013963,0.02235165650328514,0.07514063213674685,0.016295911089785543,0.03367115051176754,0.07554141395952871,1.0000000000000002,0.028334773276602908,0.009558867111161596
L14,0.007299656276232335,0.07881741360021728,0.00808646753884905,0.01620089608172441,0.0,0.07468998524930784,0.03601456345447744,0.1319295992001582,0.07726266405930937,0.03543323131642102,0.07739055375975659,0.2121097948190125,0.028334773276602908,0.9999999999999999,0.04601067871413751
L15,0.009120861792941904,0.0,0.0,0.15721901380172495,0.042494068253155284,0.12328240751529325,0.004633136673925296,0.011289398506105141,0.010957790543811009,0.01225395529760538,0.0,0.0,0.009558867111161596,0.04601067871413751,1.0
