document_id,unique_terms,total_term_occurrences,top_relevance_score
L0 Introduction,82,123,0.969298
L1,212,475,0.992784
L10,363,753,0.997664
L11,711,1903,0.973512
L12,807,1879,0.872231
L13,669,1447,0.999354
L14,428,949,0.997338
L15,580,1479,0.997781
L2,557,1174,0.880166
L3,500,1162,0.994458
L4,949,2895,0.965931
L5,330,1032,0.97449
L6,674,1569,0.998545
L7,241,780,0.996301
L8,275,549,0.972973
L9,673,1293,0.995814
